idIgreja,NomeIgreja,Cidade,UF,vocativo,NomeSecretárioConselho,EmailSecretárioConselho,Classe,Obs,Endereço,Coords,LocalizadorCurto
1,Igreja Presbiteriana de Brasília,Brasília,DF,a,Rev. Leonardo Sahium e Presb. Adilson Vieira,secretaria@ipbsb.org.br; adilsonvieira46@gmail.com,1.Igreja filiada à IPB,"Pb. Adilson Vieira (adilson@solar.com.br)
Pb. Apolonio Brandão (apoloniob@ig.com.br)
http://www.ipbsb.org.br/artigo/sobre-o-conselho/44",,,
3,Igreja Batista Capital (antiga Terceira Igreja Batista do Plano Piloto),Brasília,DF,a,Pr. Gilberto Wegermann,wegermann.gilberto@gmail.com;juliana@terceira.org.br;igreja@terceira.org.br,2.Igreja evangélica não IPB,"Setor de Clubes Esportivos Sul, Trecho 2, cj. 52, lt. 40, www.terceira.org.br; 
CAMPUS SUL: SCES Trecho 2 Cj. 52 Lote 40, Brasília-DF
CAMPUS NORTE: SQN 407/408, Área Especial 1, Asa Norte, Brasília-DF
(61) 3272 0847 | igreja@terceira.org.br",,,
4,Primeira Igreja Presbiteriana de Taguatinga,Brasília,DF,a,Rev. Adriano Duarte Caires e Presb. Bruno Casagrande,adcaires@hotmail.com;casaosp@yahoo.com.br,1.Igreja filiada à IPB,,,,
5,Igreja Presbiteriana Luz,Goiânia,GO,a,,,1.Igreja filiada à IPB,,,,
6,Igreja Presbiteriana do Cruzeiro,Brasília,DF,a,Rev. João Geraldo,ipbcruzeiro@brturbo.com.br;secretaria@ipcruzeiro.org.br,1.Igreja filiada à IPB,(61) 98416-7043,,,
7,Igreja Presbiteriana de Blumenau,Blumenau,SC,a,,,1.Igreja filiada à IPB,,,,
8,Igreja Presbiteriana do Sudoeste,Brasília,DF,a,Rev. Ricardo da Cruz Santana (61 9-9280-8088),,1.Igreja filiada à IPB,99280-8088,,,
9,Igreja Presbiteriana Betânia de Cuiabá,Cuiabá,MT,a,Rev. Nelson Abreu Júnior,nelsontulip@hotmail.com;betaniacba@uol.com.br,1.Igreja filiada à IPB,,,,
10,Igreja Presbiteriana da Madalena,Recife,PE,a,,,1.Igreja filiada à IPB,,,,
12,Comunidade Cristã Ministério da Fé (Taguatinga Norte),Brasília,DF,o,,,2.Igreja evangélica não IPB,,,,
13,Igreja Cristã O Renovo,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
14,Igreja Evangélica Suíça de São Paulo,São Paulo,SP,a,,,2.Igreja evangélica não IPB,,,,
15,Igreja do Nazareno Central,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
16,Igreja Presbiteriana Central do Gama,Brasília,DF,a,Rev. Baltazar Lopes Fernandes,secretaria@ipcg.org.br;secretariaipcgama@gmail.com,1.Igreja filiada à IPB,"www.ipcg.org.br  ou secretaria@ipcg.org.br , fone: 3556-0678.",,,
18,Igreja Memorial Batista de Brasília,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
19,Igreja Batista no Lago Sul,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
20,Igreja Presbiteriana de Vinhais,São Luís,MA,a,,,1.Igreja filiada à IPB,,,,
22,--- não é/era membro de igreja ---,---,---,-,,,3.outra origem,,,,
23,Igreja Presbiteriana do Lago Sul,Brasília,DF,a,Rev. Jailson de Souza Gomes,secretariaipls@ipls.org.br; iplagosul@gmail.com; rev.jailsongomes@ipb.org.br,1.Igreja filiada à IPB,,,,
24,Igreja Presbiteriana do Lago Norte,Brasília,DF,a,Rev. Carlos Veiga e Presb. Rubão Lima,cveiga@terra.com.br;iplagonorte@gmail.com,1.Igreja filiada à IPB,administrador é o Rubão cujo o celular é 8407-3681,,,
25,Igreja Presbiteriana de Araraquara,Araraquara,SP,a,Elda Ludovico Mastria (secretária),elda_mastria@hotmail.com,1.Igreja filiada à IPB,http://ipararaquara.vilabol.uol.com.br/lideres.html,,,
26,"Cornerstone Presbyterian Church (OPC, Philadelfia-PA, USA)",Philadelphia,PA,a,,,2.Igreja evangélica não IPB,http://www.cornerstoneopc.com/index.php,,,
27,Igreja Batista Esperança de Porto Alegre,Porto Alegre,RS,a,Rev. Jonathan Hutchins,hutchins@salzo.net,2.Igreja evangélica não IPB,http://www.ibepoa.com/,,,
28,Igreja Assembleia de Deus Central em Araguari,Araguari,MG,a,,,2.Igreja evangélica não IPB,,,,
29,Comunidade El Shaddai em Araguari,Araguari,MG,a,,,2.Igreja evangélica não IPB,,,,
30,Sovereign Grace Fellowship South Bay,Los Angeles,CA/USA,a,Rev. Joe Lamay,joelamay@sbcglobal.net,2.Igreja evangélica não IPB,www.sovgracefellowship.org,,,
31,Primeira Igreja Presbiteriana de Goiânia,Goiânia,GO,a,Rev. Milton Rodrigues Jr.,pipg35@terra.com.br;miltonrj@uol.com.br,1.Igreja filiada à IPB,http://www.pipg.org/,,,
32,Igreja Batista Central de Brasília,Brasília,DF,a,Pr. Ricardo Espíndola,prre@terra.com.br; comunicacao@ibcb.org,2.Igreja evangélica não IPB,,,,
33,Igreja Presbiteriana Nacional,Brasília,DF,a,Rev. Marco Antonio Baumgratz Ribeiro,marco@ipn.org.br; administrativo@ipn.org.br; secretaria@ipn.org.br,1.Igreja filiada à IPB,,,,
34,--- ainda não indentificada ---,,,-,,,3.outra origem,,,,
35,Igreja Assembleia de Deus em Sobradinho,Brasília,DF,a,Pr. Lourival Dias Neto,,2.Igreja evangélica não IPB,,,,
36,Igreja Assembleia de Deus Ministério Fé na Terra,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
37,Igreja Presbiteriana Semear,Brasília,DF,a,Rev. Emilio Garofalo Neto e Presb. Daniel Lopes,emiliogneto@yahoo.com.br; conselho@ipsemear.org; bislopes@yahoo.com; frheringer@gmail.com,1.Igreja filiada à IPB,Telefone:  3326-4994,,,
38,Primeira Igreja Batista Reformada em Taguatinga,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
39,Igreja Presbiteriana Central de Araguari,Araguari,MG,a,Rev. Edivaldo Junior,ipca120@hotmail.com,1.Igreja filiada à IPB,,,,
40,7a Igreja Presbiteriana Conservadora de São Paulo,São Paulo,SP,a,,,2.Igreja evangélica não IPB,,,,
41,Igreja Presbiteriana do Butantã,São Paulo,SP,a,,,1.Igreja filiada à IPB,,,,
42,Presbitério Brasília Norte/SCB,Brasília,DF,o,,,4.Presbitério da IPB,,,,
43,Igreja de Nova Vida de Brasília,Brasília,DF,a,Pr. Nilson Santos,sede.novavida@gmail.com,2.Igreja evangélica não IPB,,,,
44,Igreja Cristã Evangélica do Brasil,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
45,Primeira Igreja Presbiteriana do Brasil,Santa Maria da Vitória,BA,a,,,1.Igreja filiada à IPB,,,,
46,Igreja Metodista/Estrutural-DF,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
47,Igreja Batista de Parquelândia,Fortaleza,CE,a,Rev. Cleyton Gadelha,fcleytongadelha@oi.com.br; cleytongadelha@ibest.com.br,2.Igreja evangélica não IPB,,,,
48,Igreja Presbiteriana do Cambeba,Fortaleza,CE,a,Rev. Francisco Macena da Costa,ipbcambeba@hotmail.com;revmacena@gmail.com,1.Igreja filiada à IPB,,,,
49,Primeira Igreja Batista Independente da Ceilândia Norte,Brasília,DF,a,Pr. Waldemi,,2.Igreja evangélica não IPB,O pastor anterior era Pastor Roberto A. Costa,,,
50,Igreja Luterana de Tinglev- Dinamarca,Tinglev (Dinamarca),--,a,,,2.Igreja evangélica não IPB,,,,
51,Igreja Cristã Manancial da Vida,Brasília,DF,a,Pr. José Vilaça da Silva,administracao@icmdv.org,2.Igreja evangélica não IPB,"QSB 11, AE 11, Taguatinga Sul, Brasília-DF, CEP 72015-610, administracao@icmdv.org, (61) 3351 4582, (61) 3351 4582",,,
52,Igreja Cristã Maranata,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
53,Igreja Presbiteriana Iawé Nissi,Brasília,DF,a,Rev. Daniel Sampaio Mota (Pastor Titular) e Presb. Otair Paulo de Ávila (Secret. do Conselho),ipinipb@hotmail.com; ipinipb@bol.com.br,1.Igreja filiada à IPB,"Igreja Presbiteriana Iawé Nissi – Taguatinga Norte – DF; 3562-7884  (Tatyana Silva, Taty); Rev. Daniel Sampaio Mota (9252-1563); Secretaria da Igreja - Meire (3562-7884; 2192-9352)",,,
54,Igreja Batista Vale da Bênção,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
55,Igreja Batista Filadélfia (no Guará),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
56,Igreja Assembleia de Deus na Candangolândia (ADECAN),Brasília,DF,a,Pr. Misael Alves da Silva,adecanpv@gmail.com,2.Igreja evangélica não IPB,"(61) 3355-5533 (Secretaria), http://www.adecan.com.br/",,,
57,Templo Batista do Vale do Amanhecer,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
58,Igreja Projeto Ômega,Ipatinga,MG,a,,,2.Igreja evangélica não IPB,,,,
59,Caminho da Graça (Caio Fábio),Brasília,DF,a,Caio Fábio,,2.Igreja evangélica não IPB,,,,
60,Igreja Episcopal Carismática do DF,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
61,"Igreja Episcopal Anglicana em Recife-PE, paróquia da Trindade",Recife,PE,a,,,2.Igreja evangélica não IPB,,,,
62,Ministério Mundial de Unidade Cristã,Brasília,DF,o,,,2.Igreja evangélica não IPB,,,,
63,Igreja Batista Cidade Universitária (IBCU),São Paulo,SP,a,,,2.Igreja evangélica não IPB,http://www.ibcu.org.br/,,,
64,Igreja Presbiteriana de São Luís,São Luís,MA,a,,,1.Igreja filiada à IPB,,,,
65,Igreja Católica Apostólica Romana (ICAR),,,a,,,3.outra origem,,,,
66,Igreja Missionária Evangélica do Betel Brasileiro do Cruzeiro,Brasília,DF,a,,,2.Igreja evangélica não IPB,Pr. Queiroz (61 9-8151-0033),,,
67,Igreja Vintage 180,Porto Alegre,RS,a,Pr. Jackson Jacques,,2.Igreja evangélica não IPB,,,,
68,Igreja Presbiteriana Betânia,Brasília,DF,a,Rev. Reginaldo Carvalho,reginaldoepri@ig.com.br; administracao@ipbetaniadf.org.br,1.Igreja filiada à IPB,"http://www.ipbetaniadf.com.br/; Rua 4B, Chácara 1A, Lote 05, Loja 01, Vicente Pires, Brasília - DF",,,
69,Igreja Batista Central de Fortaleza,Fortaleza,CE,a,Pr. Armando Bispo,bispo@ibc.org.br,2.Igreja evangélica não IPB,http://ibc.org.br/,,,
70,Igreja Presbiteriana Central de Águas Claras,Brasília,DF,a,"Rev. Pedro Tavares da Silva (efetivo), Rev. Francisco José Cruz Moraes (auxiliar) e Presb. Silas",ptsjab@zimail.com.br; revfmoraes@gmail.com; silasfreitas70@gmail.com,1.Igreja filiada à IPB,,,,
71,Igreja Assembleia de Deus Vitória em Cristo (Recife/PE),Recife,PE,a,,,2.Igreja evangélica não IPB,,,,
72,Igreja Presbiteriana do Brasil em Santa Maria,Brasília,DF,a,Rev. José Sebastião Soares Perônico,jose@ppla.org.br; jose.soares2020@gmail.com,1.Igreja filiada à IPB,"EQ 304/307 Área Especial Lote 2, Santa Maria Sul - Santa Maria. DF
QR 304, Conj. V, Cs. 15 – 72 504-522 - Santa Maria – DF",,,
73,Primeira Igreja Presbiteriana de Ceilândia,Brasília,DF,a,Rev. Eudes Oaks,eudesoaks_5@hotmail.com,1.Igreja filiada à IPB,"EQNM 4/6 BL A - Ceilândia,Brasília, DF | CEP: 72210-521, (61) 3371-1166  3373-2532, CEP: 72.210-045 Fone : 61 33711166",,,
74,Igreja Presbiteriana do Guará II,Brasília,DF,a,Rev. Fabio Henrique de Jesus Caetano e Presbs. Heitor Rocha de Almeida e Éverson Campos dos Santos,secretaria@ipgii.org.br;ipgii@ipgii.org.br;heitor.hranet@gmail.com;eversonbsb@gmail.com,1.Igreja filiada à IPB,"EQ 30/32 Área Especial ""C"" - Guará II, CEP: 71065-305 Brasília/DF, Telefones: (61) 3567-2799 / (61) 3381-0454, www.ipgii.org.br; Rev. Rosther Guimarães Lopes 9988-6629",,,
75,Segunda Igreja Presbiteriana de Ceilândia,Brasília,DF,a,Rev. Oswaldo Antônio da Silva Júnior (Efetivo) e Presb. André de Oliveira Clovandi (Secretário),revoswaldo@yahoo.com.br; clovandi@gmail.com,1.Igreja filiada à IPB,"Rev. Oswaldo Antônio da Silva Júnior (Efetivo, 9-9615-7242, revoswaldo@yahoo.com.br) e Presb. André de Oliveira Clovandi (Secretário, clovandi@gmail.com)",,,
76,Comunidade Cristã Fonte de Água Viva,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
77,Primeira Igreja Batista Reformada em Caxias do Sul,Caxias do Sul,RS,a,Rev. Douglas,pib.reformadacaxias@gmail.com,2.Igreja evangélica não IPB,,,,
78,Presbitério de Brasília/SBS,Brasília,DF,o,,,1.Igreja filiada à IPB,,,,
79,Congregação Missionária da JMN/IPB em Farroupilha,Farroupilha,RS,a,Rev. Geraldo Mescoloto,mescoloto57@uol.com.br,1.Igreja filiada à IPB,,"Rua Camilo Brasileiro, 1208, próximo da Brigada Militar e dos Bombeiros, Bairro Pio X, Cx. Postal 490",,
80,Igreja Presbiteriana Paulistana,São Paulo,SP,a,Rev. Davi Charles Gomes; Presb. Maurício,davi@coramdeo.com.br; davicharles@me.com; evertonlevi@hotmail.com,1.Igreja filiada à IPB,,,,
81,Igreja Batista Norte da Ilha (Florianópolis/SC),Florianópolis,SC,a,,,2.Igreja evangélica não IPB,,,,
